IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(M),地区码,端口
172.67.68.184,4,3,25,171.81,0.00,SEA,443
104.24.177.189,4,3,25,192.33,0.00,LAX,443
104.17.195.127,4,3,25,184.33,0.00,SJC,443
162.159.11.3,4,4,0,150.05,0.00,LAX,443
104.16.200.100,4,4,0,176.73,0.00,SJC,443
104.25.131.170,4,3,25,176.52,0.00,LAX,443
104.25.68.161,4,3,25,192.02,0.00,SJC,443
141.101.120.38,4,3,25,137.13,0.00,SJC,443
172.66.131.171,4,4,0,191.59,0.00,LAX,443
190.93.246.72,4,3,25,122.53,0.00,SJC,443
104.18.105.31,4,3,25,183.52,0.00,SJC,443
190.93.245.152,4,4,0,77.62,0.00,HKG,443
172.66.40.59,4,3,25,181.65,0.00,SEA,443
104.21.44.167,4,3,25,183.08,0.00,SJC,443
104.25.227.23,4,4,0,190.01,0.00,LAX,443
172.67.182.162,4,4,0,179.16,0.00,LAX,443
172.66.200.219,4,3,25,187.33,0.00,LAX,443
104.24.241.188,4,4,0,194.17,0.00,SJC,443
108.162.194.76,4,3,25,139.92,0.00,LAX,443
162.159.46.140,4,3,25,143.47,0.00,LAX,443
173.245.59.228,4,4,0,182.43,0.00,SJC,443
103.21.244.215,4,4,0,189.85,0.00,LAX,443
108.162.193.148,4,3,25,143.53,0.00,SJC,443
198.41.207.141,4,4,0,179.79,0.00,LAX,443
104.17.3.74,4,3,25,173.99,0.00,SJC,443
104.16.149.34,4,4,0,65.85,0.00,HKG,443
104.24.171.182,4,4,0,185.52,0.00,LAX,443
188.114.97.46,4,4,0,187.59,0.00,LAX,443
104.25.33.78,4,3,25,177.70,0.00,LAX,443
104.19.130.189,4,3,25,189.13,0.00,LAX,443
173.245.58.223,4,3,25,191.56,0.00,LAX,443
104.24.62.121,4,4,0,183.67,0.00,LAX,443
104.24.239.178,4,3,25,194.77,0.00,LAX,443
190.93.247.183,4,3,25,80.48,0.00,SJC,443
198.41.199.41,4,4,0,116.63,0.00,LAX,443
104.25.222.252,4,3,25,184.40,0.00,LAX,443
198.41.192.131,4,4,0,111.47,0.00,LAX,443
162.159.245.137,4,4,0,150.13,0.00,LAX,443
104.24.205.71,4,4,0,193.92,0.00,SJC,443
104.24.241.56,4,3,25,193.00,0.00,LAX,443
104.26.4.6,4,3,25,171.76,0.00,SEA,443
198.41.195.76,4,4,0,114.54,0.00,LAX,443
104.16.34.14,4,3,25,162.79,0.00,SEA,443
104.16.165.97,4,4,0,165.11,0.00,SJC,443
162.159.249.139,4,3,25,185.72,0.00,SJC,443
198.41.215.57,4,3,25,189.52,0.00,LAX,443
162.159.133.219,4,4,0,41.69,0.00,NRT,443
162.159.133.171,4,4,0,47.44,0.00,NRT,443
104.24.17.175,4,3,25,191.96,0.00,SJC,443
162.159.10.234,4,3,25,137.92,0.00,LAX,443
108.162.196.216,4,3,25,39.29,0.00,HKG,443
104.16.163.42,4,3,25,169.93,0.00,SJC,443
104.16.121.84,4,3,25,170.74,0.00,SJC,443
162.159.240.10,4,3,25,185.47,0.00,HKG,443
104.17.72.119,4,4,0,185.50,0.00,SJC,443
188.114.96.171,4,3,25,193.53,0.00,SJC,443
104.16.111.240,4,4,0,238.49,0.00,LHR,443
104.18.124.135,4,4,0,236.85,0.00,LHR,443
104.20.37.53,4,3,25,182.46,0.00,SJC,443
162.159.142.145,4,3,25,46.52,0.00,NRT,443
104.25.70.41,4,3,25,192.06,0.00,LAX,443
198.41.214.145,4,3,25,135.80,0.00,LAX,443
104.27.120.115,4,3,25,183.62,0.00,LAX,443
108.162.198.86,4,4,0,139.02,0.00,SJC,443
104.25.5.122,4,3,25,180.01,0.00,LAX,443
103.31.4.231,4,3,25,202.89,0.00,DEN,443
104.18.137.53,4,3,25,171.62,0.00,SJC,443
198.41.223.88,4,3,25,169.63,0.00,SJC,443
104.24.212.66,4,4,0,192.80,0.00,SJC,443
104.17.11.46,4,4,0,184.73,0.00,SJC,443
104.18.103.10,4,3,25,172.06,0.00,SJC,443
172.67.179.223,4,3,25,182.78,0.00,SJC,443
104.18.226.82,4,3,25,70.61,0.00,SJC,443
104.17.47.177,4,3,25,172.98,0.00,SJC,443
162.159.10.5,4,3,25,190.46,0.00,LAX,443
104.24.18.21,4,4,0,182.55,0.00,LAX,443
104.19.252.88,4,4,0,178.94,0.00,SJC,443
104.20.57.20,4,3,25,224.76,0.00,FRA,443
103.31.4.84,4,3,25,209.61,0.00,DEN,443
104.19.13.189,4,4,0,187.28,0.00,LAX,443
104.25.240.21,4,3,25,83.65,0.00,HKG,443
172.67.126.119,4,4,0,193.41,0.00,SJC,443
172.67.147.254,4,3,25,162.67,0.00,SEA,443
104.24.32.232,4,3,25,169.02,0.00,LAX,443
173.245.59.12,4,3,25,178.03,0.00,LAX,443
104.18.79.185,4,4,0,166.78,0.00,SEA,443
141.101.114.109,4,3,25,178.80,0.00,SJC,443
104.25.66.59,4,4,0,182.90,0.00,LAX,443
104.20.55.41,4,4,0,229.41,0.00,FRA,443
104.25.165.33,4,4,0,171.67,0.00,LAX,443
104.25.92.191,4,3,25,181.87,0.00,LAX,443
188.114.99.24,4,3,25,190.42,0.00,LAX,443
190.93.245.138,4,3,25,120.45,0.00,HKG,443
162.159.235.27,4,4,0,152.62,0.00,HKG,443
104.25.223.30,4,3,25,166.96,0.00,LAX,443
188.114.98.143,4,4,0,185.19,0.00,LAX,443
141.101.121.8,4,3,25,141.22,0.00,LAX,443
188.114.98.231,4,3,25,184.54,0.00,LAX,443
190.93.247.149,4,4,0,140.44,0.00,SJC,443
188.114.96.229,4,4,0,188.66,0.00,LAX,443
198.41.195.147,4,3,25,175.98,0.00,LAX,443
104.17.135.137,4,4,0,138.79,0.00,HKG,443
188.114.99.128,4,3,25,192.35,0.00,LAX,443
108.162.193.40,4,3,25,137.89,0.00,LAX,443
188.114.96.169,4,3,25,193.48,0.00,LAX,443
104.18.43.141,4,3,25,64.75,0.00,HKG,443
104.24.38.221,4,3,25,184.10,0.00,LAX,443
198.41.208.196,4,4,0,76.20,0.00,HKG,443
104.16.226.164,4,4,0,170.99,0.00,SJC,443
104.27.74.177,4,3,25,198.64,0.00,LAX,443
104.24.215.4,4,4,0,180.89,0.00,LAX,443
190.93.244.228,4,4,0,145.74,0.00,HKG,443
172.67.104.242,4,4,0,172.60,0.00,LAX,443
198.41.206.213,4,4,0,188.61,0.00,LAX,443
162.159.254.86,4,3,25,187.45,0.00,LAX,443
104.27.65.243,4,4,0,193.81,0.00,LAX,443
141.101.114.80,4,3,25,130.27,0.00,HKG,443
104.16.99.27,4,4,0,234.60,0.00,LHR,443
141.101.122.108,4,4,0,179.28,0.00,LAX,443
198.41.194.209,4,3,25,167.79,0.00,SJC,443
141.101.115.60,4,3,25,129.86,0.00,SJC,443
104.27.42.161,4,3,25,184.67,0.00,LAX,443
162.159.6.183,4,4,0,191.34,0.00,LAX,443
198.41.214.65,4,3,25,140.19,0.00,LAX,443
190.93.244.99,4,3,25,88.88,0.00,HKG,443
162.159.242.223,4,3,25,139.25,0.00,HKG,443
104.19.239.153,4,3,25,228.17,0.00,LHR,443
173.245.58.197,4,4,0,191.48,0.00,SJC,443
104.24.179.171,4,4,0,182.45,0.00,LAX,443
104.27.205.215,4,3,25,178.72,0.00,LAX,443
162.159.44.198,4,4,0,196.86,0.00,LAX,443
104.17.210.173,4,3,25,96.35,0.00,HKG,443
172.67.156.108,4,4,0,181.60,0.00,SEA,443
104.16.159.144,4,4,0,113.80,0.00,HKG,443
104.16.64.91,4,3,25,162.24,0.00,SJC,443
104.24.173.15,4,3,25,195.12,0.00,LAX,443
198.41.201.80,4,3,25,139.67,0.00,LAX,443
173.245.59.89,4,3,25,140.69,0.00,LAX,443
162.159.48.192,4,4,0,143.08,0.00,HKG,443
190.93.247.88,4,4,0,69.60,0.00,SJC,443
198.41.201.108,4,4,0,185.33,0.00,SJC,443
141.101.113.219,4,4,0,187.08,0.00,LAX,443
141.101.114.81,4,4,0,139.22,0.00,HKG,443
190.93.245.69,4,4,0,77.82,0.00,HKG,443
198.41.193.86,4,4,0,115.21,0.00,LAX,443
162.159.42.190,4,3,25,147.81,0.00,LAX,443
162.159.237.106,4,4,0,180.23,0.00,SJC,443
104.16.208.197,4,4,0,179.08,0.00,SJC,443
104.18.136.183,4,3,25,174.29,0.00,SJC,443
188.114.99.213,4,4,0,195.33,0.00,LAX,443
198.41.223.75,4,4,0,152.19,0.00,LAX,443
188.114.96.96,4,3,25,188.28,0.00,LAX,443
162.159.235.127,4,4,0,115.81,0.00,LAX,443
104.17.140.173,4,4,0,139.17,0.00,HKG,443
198.41.214.198,4,3,25,192.37,0.00,SJC,443
104.24.223.98,4,4,0,187.57,0.00,LAX,443
188.114.97.104,4,3,25,190.54,0.00,SJC,443
188.114.98.108,4,4,0,180.53,0.00,LAX,443
103.21.244.231,4,3,25,180.97,0.00,LAX,443
103.31.4.141,4,3,25,222.26,0.00,DEN,443
162.159.38.203,4,3,25,192.01,0.00,LAX,443
162.159.35.225,4,3,25,171.64,0.00,SJC,443
173.245.58.251,4,3,25,179.22,0.00,SJC,443
198.41.223.130,4,3,25,188.89,0.00,LAX,443
103.31.4.84,4,3,25,202.04,0.00,DEN,443
104.27.28.37,4,4,0,186.60,0.00,LAX,443
104.17.75.60,4,4,0,163.55,0.00,SJC,443
104.21.238.55,4,4,0,166.64,0.00,SEA,443
104.19.251.192,4,3,25,177.13,0.00,SJC,443
162.159.235.200,4,3,25,186.54,0.00,HKG,443
162.159.46.42,4,3,25,137.73,0.00,LAX,443
162.159.224.126,4,3,25,220.20,0.00,DEN,443
162.159.194.117,4,3,25,192.43,0.00,LAX,443
198.41.205.35,4,3,25,177.07,0.00,LAX,443
190.93.247.167,4,4,0,107.89,0.00,SJC,443
104.18.161.5,4,4,0,101.46,0.00,HKG,443
173.245.49.233,4,3,25,130.73,0.00,LAX,443
162.159.43.87,4,4,0,148.62,0.00,SJC,443
104.17.144.180,4,3,25,38.77,0.00,HKG,443
188.114.97.139,4,3,25,184.06,0.00,LAX,443
104.17.22.59,4,3,25,107.98,0.00,HKG,443
104.18.229.133,4,3,25,88.68,0.00,SJC,443
172.66.156.192,4,4,0,183.93,0.00,LAX,443
104.16.60.20,4,4,0,167.32,0.00,SEA,443
162.159.46.99,4,3,25,196.10,0.00,LAX,443
172.67.99.156,4,3,25,192.57,0.00,LAX,443
190.93.245.209,4,3,25,129.80,0.00,HKG,443
162.159.18.51,4,4,0,154.10,0.00,LAX,443
104.24.140.166,4,4,0,188.81,0.00,SJC,443
162.159.61.165,4,3,25,88.36,0.00,LAX,443
103.21.244.151,4,3,25,136.95,0.00,LAX,443
103.31.4.176,4,3,25,198.64,0.00,DEN,443
104.26.9.212,4,4,0,174.18,0.00,SEA,443
104.24.251.212,4,4,0,177.36,0.00,SJC,443
103.21.244.45,4,4,0,138.27,0.00,SJC,443
188.114.99.122,4,3,25,198.05,0.00,LAX,443
104.25.225.157,4,3,25,180.97,0.00,LAX,443
104.27.8.165,4,3,25,181.41,0.00,LAX,443
172.65.50.124,4,3,25,180.92,0.00,SJC,443
104.27.89.173,4,4,0,187.94,0.00,SJC,443
190.93.245.74,4,4,0,116.71,0.00,SJC,443
104.26.4.119,4,4,0,166.85,0.00,SEA,443
198.41.198.158,4,4,0,180.86,0.00,LAX,443
104.25.170.17,4,4,0,188.00,0.00,SJC,443
198.41.203.108,4,4,0,192.62,0.00,LAX,443
104.27.82.87,4,4,0,190.47,0.00,LAX,443
104.25.104.235,4,3,25,181.86,0.00,SJC,443
104.18.231.14,4,4,0,144.40,0.00,HKG,443
104.20.29.105,4,4,0,188.88,0.00,LAX,443
104.27.79.170,4,4,0,164.45,0.00,LAX,443
172.66.150.49,4,4,0,194.20,0.00,LAX,443
104.25.126.50,4,3,25,191.56,0.00,SJC,443
104.24.47.161,4,4,0,180.67,0.00,LAX,443
108.162.192.122,4,4,0,167.13,0.00,SJC,443
104.18.57.24,4,3,25,139.37,0.00,LAX,443
173.245.59.136,4,3,25,142.16,0.00,LAX,443
104.24.65.228,4,4,0,179.65,0.00,LAX,443
198.41.200.253,4,4,0,187.72,0.00,LAX,443
162.159.237.204,4,3,25,192.64,0.00,SJC,443
104.21.222.206,4,3,25,192.10,0.00,LAX,443
104.24.77.249,4,4,0,193.20,0.00,SJC,443
104.24.170.94,4,4,0,184.75,0.00,LAX,443
104.24.2.2,4,4,0,184.64,0.00,LAX,443
104.27.193.152,4,4,0,170.93,0.00,LAX,443
173.245.58.164,4,3,25,189.53,0.00,LAX,443
198.41.209.199,4,3,25,63.25,0.00,HKG,443
104.24.161.235,4,3,25,190.72,0.00,LAX,443
103.21.244.113,4,4,0,187.91,0.00,LAX,443
188.114.96.150,4,3,25,198.10,0.00,LAX,443
172.64.149.88,4,3,25,143.39,0.00,HKG,443
104.19.235.9,4,3,25,240.95,0.00,LHR,443
190.93.246.66,4,4,0,70.42,0.00,HKG,443
108.162.193.248,4,4,0,112.74,0.00,LAX,443
103.31.4.44,4,4,0,195.27,0.00,DEN,443
162.159.61.148,4,4,0,116.08,0.00,LAX,443
172.67.157.183,4,3,25,172.39,0.00,SEA,443
172.67.170.2,4,3,25,172.31,0.00,SEA,443
173.245.59.86,4,4,0,110.19,0.00,LAX,443
162.159.140.231,4,3,25,42.84,0.00,NRT,443
172.67.150.81,4,4,0,174.96,0.00,SEA,443
172.66.138.165,4,3,25,185.84,0.00,LAX,443
162.159.242.200,4,3,25,181.83,0.00,LAX,443
104.24.63.61,4,3,25,188.89,0.00,SJC,443
162.159.137.92,4,4,0,46.59,0.00,NRT,443
188.114.97.195,4,4,0,190.24,0.00,LAX,443
190.93.245.216,4,3,25,122.18,0.00,SJC,443
173.245.49.107,4,4,0,140.80,0.00,LAX,443
198.41.202.103,4,3,25,80.27,0.00,LAX,443
103.31.4.78,4,3,25,207.87,0.00,DEN,443
104.27.115.255,4,3,25,187.09,0.00,LAX,443
103.31.4.116,4,3,25,179.09,0.00,DEN,443
104.19.200.78,4,4,0,181.86,0.00,LAX,443
104.18.17.49,4,3,25,245.71,0.00,LHR,443
188.114.98.223,4,4,0,182.84,0.00,SJC,443
104.19.50.108,4,4,0,37.44,0.00,HKG,443
104.19.51.214,4,4,0,73.68,0.00,HKG,443
190.93.247.6,4,3,25,133.02,0.00,HKG,443
162.159.20.226,4,3,25,185.48,0.00,LAX,443
104.17.61.94,4,3,25,67.15,0.00,HKG,443
198.41.219.145,4,4,0,177.60,0.00,SJC,443
172.64.90.177,4,4,0,181.49,0.00,LAX,443
188.114.97.18,4,4,0,187.59,0.00,LAX,443
108.162.195.89,4,3,25,186.90,0.00,LAX,443
104.21.233.71,4,3,25,152.58,0.00,SEA,443
104.19.165.172,4,3,25,181.53,0.00,SEA,443
104.18.5.100,4,4,0,174.34,0.00,SEA,443
190.93.247.107,4,3,25,130.99,0.00,SJC,443
104.24.9.145,4,4,0,191.00,0.00,LAX,443
104.17.148.205,4,3,25,85.50,0.00,HKG,443
104.24.134.40,4,3,25,190.48,0.00,LAX,443
104.19.1.254,4,3,25,192.29,0.00,LAX,443
198.41.195.64,4,3,25,176.19,0.00,LAX,443
104.25.10.203,4,4,0,191.90,0.00,LAX,443
190.93.246.197,4,4,0,116.18,0.00,HKG,443
104.16.142.54,4,3,25,254.77,0.00,LHR,443
104.27.76.175,4,4,0,184.53,0.00,SJC,443
198.41.211.118,4,4,0,181.01,0.00,SJC,443
190.93.245.115,4,4,0,109.44,0.00,HKG,443
198.41.217.94,4,4,0,181.30,0.00,LAX,443
162.159.21.163,4,3,25,171.80,0.00,LAX,443
172.67.92.160,4,3,25,192.19,0.00,LAX,443
162.159.1.51,4,4,0,191.96,0.00,HKG,443
104.21.204.21,4,3,25,196.20,0.00,LAX,443
104.24.81.169,4,4,0,186.50,0.00,SJC,443
104.25.108.149,4,3,25,190.45,0.00,LAX,443
108.162.194.170,4,4,0,179.02,0.00,SJC,443
104.27.100.217,4,4,0,166.37,0.00,LAX,443
104.27.125.233,4,3,25,182.74,0.00,LAX,443
172.64.49.104,4,4,0,186.50,0.00,LAX,443
104.20.0.247,4,3,25,191.08,0.00,LAX,443
198.41.198.46,4,3,25,141.03,0.00,LAX,443
141.101.113.75,4,4,0,189.06,0.00,SJC,443
104.19.95.185,4,3,25,195.56,0.00,LAX,443
104.25.66.245,4,4,0,193.47,0.00,LAX,443
104.20.54.203,4,4,0,230.13,0.00,FRA,443
198.41.198.199,4,3,25,188.09,0.00,LAX,443
104.16.217.108,4,4,0,184.79,0.00,SJC,443
104.19.88.65,4,3,25,183.82,0.00,SJC,443
104.19.75.104,4,4,0,196.14,0.00,SJC,443
188.114.98.9,4,4,0,191.62,0.00,LAX,443
198.41.223.241,4,4,0,184.34,0.00,LAX,443
172.67.83.153,4,3,25,183.69,0.00,LAX,443
104.25.60.74,4,4,0,185.92,0.00,LAX,443
198.41.200.55,4,4,0,146.36,0.00,LAX,443
162.159.212.106,4,3,25,192.81,0.00,DFW,443
162.159.15.122,4,3,25,186.24,0.00,LAX,443
104.24.183.4,4,3,25,183.92,0.00,LAX,443
190.93.247.26,4,4,0,140.82,0.00,SJC,443
104.25.23.129,4,4,0,182.51,0.00,SJC,443
104.18.7.82,4,3,25,182.05,0.00,SEA,443
190.93.245.80,4,4,0,63.05,0.00,SJC,443
141.101.122.48,4,4,0,151.04,0.00,LAX,443
198.41.209.123,4,3,25,100.64,0.00,HKG,443
104.18.247.22,4,3,25,173.87,0.00,SJC,443
141.101.113.92,4,3,25,191.90,0.00,LAX,443
104.25.143.248,4,4,0,186.90,0.00,SJC,443
104.17.210.149,4,3,25,70.08,0.00,HKG,443
104.21.102.77,4,3,25,190.10,0.00,LAX,443
104.25.20.154,4,4,0,184.26,0.00,LAX,443
104.25.40.181,4,4,0,179.17,0.00,LAX,443
173.245.49.82,4,4,0,145.97,0.00,LAX,443
108.162.198.198,4,4,0,150.14,0.00,SJC,443
104.27.122.93,4,4,0,196.35,0.00,SJC,443
104.18.234.15,4,4,0,124.01,0.00,SJC,443
103.31.4.18,4,4,0,210.26,0.00,DEN,443
103.31.4.41,4,4,0,214.24,0.00,DEN,443
104.16.181.120,4,3,25,176.73,0.00,SJC,443
104.24.86.156,4,4,0,184.50,0.00,LAX,443
198.41.207.187,4,3,25,87.62,0.00,LAX,443
108.162.198.140,4,4,0,148.19,0.00,HKG,443
198.41.206.153,4,4,0,171.78,0.00,LAX,443
172.64.86.245,4,4,0,181.48,0.00,LAX,443
173.245.58.174,4,3,25,186.53,0.00,LAX,443
104.18.166.170,4,3,25,80.19,0.00,SJC,443
104.17.133.134,4,3,25,143.04,0.00,HKG,443
104.16.127.64,4,4,0,184.52,0.00,SJC,443
104.21.200.177,4,4,0,178.32,0.00,LAX,443
104.16.116.78,4,3,25,173.97,0.00,SJC,443
104.20.44.73,4,4,0,169.19,0.00,LAX,443
104.25.242.130,4,3,25,111.54,0.00,HKG,443
104.17.47.39,4,3,25,181.28,0.00,SJC,443
104.24.60.71,4,4,0,176.99,0.00,SJC,443
104.18.156.136,4,4,0,77.97,0.00,HKG,443
104.25.210.236,4,3,25,178.41,0.00,LAX,443
173.245.58.60,4,4,0,187.53,0.00,LAX,443
173.245.58.134,4,3,25,187.24,0.00,SJC,443
198.41.195.206,4,3,25,178.22,0.00,LAX,443
198.41.202.19,4,4,0,185.55,0.00,SJC,443
198.41.196.182,4,4,0,190.48,0.00,LAX,443
141.101.121.164,4,3,25,140.33,0.00,SJC,443
104.16.150.28,4,4,0,39.66,0.00,HKG,443
103.31.4.167,4,3,25,205.73,0.00,DEN,443
162.159.25.45,4,3,25,142.59,0.00,LAX,443
104.17.30.106,4,3,25,59.66,0.00,HKG,443
172.64.85.96,4,3,25,182.82,0.00,LAX,443
104.16.170.3,4,3,25,165.18,0.00,SJC,443
104.25.44.40,4,4,0,197.57,0.00,SJC,443
104.24.163.77,4,4,0,186.63,0.00,LAX,443
104.16.231.147,4,4,0,193.45,0.00,SJC,443
198.41.200.246,4,3,25,186.53,0.00,SJC,443
108.162.192.144,4,4,0,188.75,0.00,HKG,443
104.24.229.104,4,3,25,192.82,0.00,LAX,443
104.27.53.131,4,3,25,187.66,0.00,LAX,443
104.16.254.65,4,3,25,40.16,0.00,HKG,443
104.25.137.156,4,4,0,189.21,0.00,LAX,443
104.17.11.90,4,3,25,192.94,0.00,SJC,443
104.18.4.214,4,3,25,181.30,0.00,SEA,443
173.245.59.124,4,4,0,116.34,0.00,LAX,443
162.159.41.15,4,3,25,185.60,0.00,LAX,443
173.245.49.3,4,3,25,184.31,0.00,LAX,443
190.93.246.147,4,4,0,108.35,0.00,HKG,443
162.159.160.81,4,4,0,230.28,0.00,FRA,443
108.162.194.125,4,3,25,139.41,0.00,LAX,443
190.93.247.12,4,3,25,88.61,0.00,HKG,443
141.101.123.120,4,4,0,184.04,0.00,SJC,443
162.159.6.95,4,4,0,181.37,0.00,LAX,443
172.64.96.30,4,3,25,193.33,0.00,DFW,443
104.16.249.174,4,4,0,92.10,0.00,HKG,443
162.159.246.171,4,4,0,184.37,0.00,SJC,443
104.24.82.121,4,3,25,186.32,0.00,LAX,443
190.93.245.88,4,4,0,101.96,0.00,HKG,443
188.114.99.124,4,4,0,192.98,0.00,LAX,443
108.162.198.202,4,4,0,147.91,0.00,HKG,443
190.93.247.255,4,3,25,90.62,0.00,HKG,443
162.159.255.104,4,4,0,149.11,0.00,LAX,443
141.101.115.251,4,3,25,130.58,0.00,HKG,443
162.159.133.145,4,4,0,51.58,0.00,NRT,443
104.16.3.3,4,3,25,86.39,0.00,SEA,443
104.21.82.185,4,4,0,170.93,0.00,SJC,443
104.17.94.192,4,3,25,181.19,0.00,SJC,443
198.41.193.145,4,3,25,192.13,0.00,LAX,443
104.18.177.81,4,4,0,103.20,0.00,SEA,443
198.41.222.30,4,4,0,111.50,0.00,SJC,443
104.19.217.116,4,4,0,139.86,0.00,HKG,443
104.24.219.239,4,3,25,179.71,0.00,LAX,443
103.21.244.123,4,3,25,188.00,0.00,HKG,443
172.67.82.234,4,4,0,189.53,0.00,LAX,443
104.27.45.31,4,3,25,186.79,0.00,LAX,443
104.27.97.77,4,4,0,176.49,0.00,LAX,443
104.18.44.174,4,3,25,85.10,0.00,HKG,443
104.24.195.94,4,3,25,189.50,0.00,SJC,443
173.245.58.10,4,3,25,196.78,0.00,SJC,443
162.159.7.152,4,3,25,182.62,0.00,LAX,443
190.93.244.251,4,3,25,132.28,0.00,HKG,443
173.245.59.72,4,4,0,190.20,0.00,SJC,443
141.101.121.3,4,4,0,195.84,0.00,LAX,443
108.162.195.34,4,4,0,186.12,0.00,SJC,443
104.27.11.227,4,4,0,175.07,0.00,SJC,443
104.25.133.211,4,4,0,190.92,0.00,LAX,443
173.245.49.239,4,3,25,191.44,0.00,LAX,443
104.16.169.240,4,4,0,181.81,0.00,SJC,443
173.245.59.4,4,4,0,150.97,0.00,HKG,443
104.25.22.119,4,4,0,184.29,0.00,LAX,443
104.18.241.5,4,4,0,177.56,0.00,SJC,443
198.41.203.7,4,3,25,193.83,0.00,LAX,443
104.18.62.245,4,3,25,182.10,0.00,LAX,443
172.66.40.201,4,4,0,174.22,0.00,SEA,443
104.21.235.109,4,4,0,182.51,0.00,SEA,443
190.93.247.50,4,4,0,94.11,0.00,SJC,443
108.162.196.85,4,4,0,145.09,0.00,LAX,443
104.20.53.192,4,4,0,223.67,0.00,FRA,443
162.159.196.56,4,3,25,140.39,0.00,HKG,443
172.64.94.142,4,4,0,177.51,0.00,SJC,443
190.93.247.83,4,4,0,138.71,0.00,SJC,443
104.25.220.133,4,4,0,182.74,0.00,LAX,443
104.16.35.194,4,4,0,167.42,0.00,SEA,443
104.19.177.69,4,4,0,175.91,0.00,SJC,443
104.27.66.90,4,4,0,183.98,0.00,SJC,443
172.66.135.134,4,4,0,196.05,0.00,LAX,443
104.27.64.11,4,4,0,185.86,0.00,LAX,443
104.18.179.201,4,3,25,172.14,0.00,HKG,443
104.19.168.102,4,4,0,181.05,0.00,SEA,443
104.24.202.39,4,3,25,190.66,0.00,LAX,443
104.27.111.217,4,3,25,188.22,0.00,LAX,443
104.18.203.108,4,3,25,183.81,0.00,SJC,443
104.25.244.90,4,4,0,38.40,0.00,HKG,443
104.25.240.4,4,4,0,38.27,0.00,HKG,443
104.25.228.227,4,3,25,184.74,0.00,LAX,443
104.18.149.201,4,4,0,77.04,0.00,SJC,443
104.16.130.115,4,3,25,227.47,0.00,LHR,443
198.41.193.55,4,4,0,188.81,0.00,LAX,443
198.41.208.221,4,4,0,47.74,0.00,HKG,443
141.101.113.202,4,3,25,189.69,0.00,LAX,443
104.16.227.127,4,4,0,176.88,0.00,SJC,443
104.25.53.69,4,3,25,178.13,0.00,LAX,443
173.245.49.104,4,4,0,155.19,0.00,HKG,443
141.101.122.164,4,4,0,187.81,0.00,LAX,443
190.93.246.6,4,3,25,89.00,0.00,SJC,443
198.41.217.205,4,3,25,184.16,0.00,SJC,443
162.159.58.28,4,4,0,186.72,0.00,LAX,443
104.16.21.122,4,4,0,177.90,0.00,SJC,443
198.41.205.219,4,3,25,127.26,0.00,LAX,443
162.159.48.128,4,3,25,142.42,0.00,LAX,443
104.25.233.204,4,4,0,191.78,0.00,LAX,443
198.41.214.154,4,4,0,183.08,0.00,HKG,443
173.245.49.88,4,3,25,170.18,0.00,SJC,443
104.16.102.7,4,4,0,208.42,0.00,LHR,443
104.25.197.133,4,4,0,170.33,0.00,LAX,443
108.162.194.83,4,3,25,140.00,0.00,LAX,443
104.27.196.201,4,3,25,199.06,0.00,LAX,443
103.31.4.157,4,3,25,197.12,0.00,DEN,443
188.114.99.118,4,4,0,184.27,0.00,LAX,443
103.31.4.0,4,4,0,213.55,0.00,DEN,443
104.24.233.180,4,4,0,185.51,0.00,LAX,443
188.114.97.229,4,4,0,174.07,0.00,LAX,443
104.17.102.171,4,3,25,39.51,0.00,HKG,443
104.27.35.37,4,3,25,190.32,0.00,LAX,443
104.19.28.45,4,3,25,185.19,0.00,LAX,443
188.114.96.45,4,4,0,184.78,0.00,LAX,443
104.24.146.212,4,4,0,169.14,0.00,LAX,443
173.245.59.225,4,3,25,139.34,0.00,LAX,443
104.25.158.152,4,4,0,190.48,0.00,SJC,443
198.41.196.126,4,3,25,140.22,0.00,HKG,443
188.114.98.95,4,4,0,193.89,0.00,SJC,443
190.93.247.57,4,3,25,90.11,0.00,HKG,443
104.16.144.116,4,3,25,42.81,0.00,HKG,443
141.101.120.245,4,3,25,140.93,0.00,LAX,443
104.18.229.194,4,4,0,116.20,0.00,HKG,443
104.24.77.116,4,3,25,193.57,0.00,LAX,443
104.21.32.210,4,3,25,159.36,0.00,SJC,443
104.19.164.151,4,4,0,166.71,0.00,SEA,443
104.25.38.205,4,3,25,194.77,0.00,LAX,443
172.67.154.101,4,3,25,161.55,0.00,SEA,443
104.24.51.226,4,4,0,194.89,0.00,LAX,443
104.24.174.129,4,3,25,178.03,0.00,LAX,443
162.159.235.209,4,3,25,38.91,0.00,LAX,443
104.17.253.47,4,4,0,174.24,0.00,SEA,443
104.21.58.104,4,3,25,189.09,0.00,LAX,443
104.25.252.138,4,3,25,98.48,0.00,HKG,443
104.17.242.51,4,3,25,172.20,0.00,SEA,443
104.25.86.62,4,3,25,175.36,0.00,LAX,443
198.41.219.144,4,3,25,183.16,0.00,SJC,443
188.114.97.129,4,4,0,193.30,0.00,LAX,443
104.18.172.251,4,3,25,91.13,0.00,SJC,443
103.21.244.104,4,4,0,114.82,0.00,LAX,443
172.64.147.149,4,3,25,65.15,0.00,HKG,443
104.25.237.182,4,4,0,187.88,0.00,LAX,443
190.93.245.6,4,3,25,88.91,0.00,SJC,443
