IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(M),地区码,端口
141.101.122.63,4,3,25,183.60,0.00,HKG,443
172.67.167.232,4,3,25,161.52,0.00,SEA,443
162.159.44.9,4,4,0,188.75,0.00,LAX,443
104.24.178.37,4,3,25,178.69,0.00,LAX,443
104.25.47.50,4,4,0,178.27,0.00,LAX,443
173.245.59.52,4,4,0,175.67,0.00,SJC,443
104.27.39.96,4,3,25,188.09,0.00,LAX,443
104.25.173.94,4,4,0,177.74,0.00,SJC,443
104.25.111.146,4,3,25,189.13,0.00,LAX,443
198.41.202.244,4,4,0,187.67,0.00,SJC,443
188.114.97.5,4,4,0,181.28,0.00,SJC,443
104.27.108.127,4,3,25,176.28,0.00,LAX,443
104.19.12.252,4,3,25,183.13,0.00,LAX,443
104.17.163.46,4,4,0,92.51,0.00,HKG,443
190.93.245.216,4,3,25,181.31,0.00,SJC,443
104.17.197.40,4,4,0,200.10,0.00,SJC,443
104.19.55.167,4,3,25,37.82,0.00,HKG,443
188.114.97.123,4,3,25,175.31,0.00,LAX,443
104.25.172.194,4,3,25,191.38,0.00,LAX,443
104.25.143.73,4,3,25,185.88,0.00,SJC,443
104.16.218.76,4,4,0,166.57,0.00,SJC,443
104.25.65.178,4,4,0,194.38,0.00,LAX,443
104.18.220.200,4,3,25,194.81,0.00,SJC,443
198.41.204.17,4,4,0,185.04,0.00,LAX,443
103.31.4.36,4,3,25,214.63,0.00,DEN,443
104.18.85.0,4,4,0,54.36,0.00,HKG,443
104.25.44.206,4,4,0,190.87,0.00,LAX,443
104.18.130.154,4,4,0,185.07,0.00,SJC,443
172.67.133.20,4,3,25,247.28,0.00,LHR,443
173.245.49.140,4,3,25,190.18,0.00,LAX,443
190.93.247.88,4,3,25,170.21,0.00,SJC,443
188.114.96.125,4,4,0,183.54,0.00,LAX,443
104.18.115.77,4,4,0,213.93,0.00,LHR,443
104.18.71.255,4,4,0,167.75,0.00,SEA,443
104.18.98.81,4,4,0,194.78,0.00,SJC,443
104.25.173.96,4,4,0,196.83,0.00,LAX,443
172.64.98.191,4,3,25,188.94,0.00,SEA,443
104.25.205.201,4,4,0,187.81,0.00,LAX,443
172.67.194.208,4,4,0,226.33,0.00,LHR,443
104.25.12.1,4,4,0,180.15,0.00,SJC,443
198.41.192.190,4,3,25,185.52,0.00,SJC,443
141.101.114.244,4,3,25,208.16,0.00,SJC,443
188.114.96.173,4,4,0,190.10,0.00,LAX,443
104.16.65.123,4,4,0,154.94,0.00,SJC,443
141.101.113.72,4,4,0,179.20,0.00,LAX,443
173.245.58.170,4,4,0,187.66,0.00,SJC,443
104.17.32.109,4,3,25,189.42,0.00,SJC,443
104.24.86.96,4,4,0,184.14,0.00,SJC,443
198.41.215.235,4,3,25,188.40,0.00,LAX,443
104.25.28.251,4,4,0,169.17,0.00,LAX,443
172.67.232.249,4,3,25,188.13,0.00,LAX,443
104.24.77.133,4,4,0,182.46,0.00,LAX,443
103.21.244.96,4,3,25,188.00,0.00,SJC,443
104.24.42.201,4,3,25,187.18,0.00,LAX,443
141.101.120.123,4,3,25,186.66,0.00,LAX,443
141.101.122.36,4,3,25,185.36,0.00,LAX,443
172.67.76.80,4,4,0,166.83,0.00,SEA,443
104.16.124.100,4,3,25,163.88,0.00,SJC,443
104.24.248.224,4,3,25,186.05,0.00,LAX,443
104.19.20.79,4,4,0,193.89,0.00,LAX,443
103.31.4.44,4,3,25,223.50,0.00,DEN,443
104.26.2.40,4,3,25,181.97,0.00,SEA,443
104.18.4.97,4,3,25,162.08,0.00,SEA,443
103.21.244.57,4,3,25,187.42,0.00,LAX,443
172.67.210.81,4,4,0,184.96,0.00,SJC,443
173.245.58.78,4,4,0,190.68,0.00,LAX,443
104.27.72.124,4,4,0,182.25,0.00,LAX,443
172.67.115.232,4,4,0,185.01,0.00,SJC,443
104.27.94.161,4,4,0,189.18,0.00,LAX,443
104.24.47.189,4,3,25,192.95,0.00,LAX,443
103.21.244.68,4,3,25,188.21,0.00,LAX,443
103.21.244.8,4,3,25,194.98,0.00,LAX,443
104.16.19.81,4,3,25,182.04,0.00,SJC,443
